Location,Date,Irr/Storm,Station,Dup,event,ID,op,no2,no3,tkn,tp,selenium (mg/L),TSS,E COLI,fecal,tss,Flow,OP,NO3,NH4,TKN,TP,E COLI.1,fecal.1,notes
Kerbel,7/18/2023 16:00,Irrigation 1,CT1,N,,K-CT1-01-LC,0.057,0.0,8.86,8.1,0.64,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,CT1,N,,K-CT1-01-ISC,0.062,0.0,8.89,6.2,0.832,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,CT1,N,,K-CT1-01-GB,0.064,0.0,8.74,6.0,0.581,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,CT1,N,,K-CT1-01-GBH,0.055,0.0,8.66,5.1,0.106,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,CT2,N,,K-CT2-01-LC,0.0,0.0,8.59,5.9,1.14,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,CT2,N,,K-CT2-01-GB,0.0,0.0,8.77,11.0,1.15,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,CT2,N,,K-CT2-01-GBH,0.0,0.0,8.71,8.7,0.965,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,MT,N,,K-MT1-01-LC,0.057,0.0,8.79,6.8,0.44,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,MT,N,,K-MT1-01-GB,0.07,0.0,9.0,7.5,0.838,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,MT,N,,K-MT1-01-GBH,0.053,0.0,8.84,5.9,0.314,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,MT,N,,K-MT2-01-LC,0.0,0.0,8.93,3.9,0.992,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,MT,N,,K-MT2-01-GB,0.0,0.0,9.09,10.0,0.888,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,MT,N,,K-MT2-01-GBH,0.0,0.0,8.8,6.3,0.852,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,ST1,N,,K-ST1-01-LC,0.0,0.0,8.8,6.6,0.561,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,ST1,N,,K-ST1-01-ISC,0.675,0.203,1.05,2.8,1.36,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,ST1,N,,K-ST1-01-GB,0.0,0.0,8.88,5.6,0.503,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,ST1,N,,K-ST1-01-GBH,0.0,0.0,8.76,5.3,0.429,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,ST2,N,,K-ST2-01-LC,0.0,0.0,8.59,13.0,1.68,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,ST2,N,,K-ST2-01-ISC,0.0,0.0,8.73,7.2,1.28,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,ST2,N,,K-ST2-01-GB,0.0,0.0,8.85,36.0,1.52,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,ST2,N,,K-ST2-01-GBH,0.0,0.0,8.69,10.0,1.29,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,Inflo,N,,K-INF-01-GB,0.0,0.0,8.62,5.2,0.0,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,Inflo,N,,K-INF-01-GBH,0.0,0.0,8.61,3.9,0.0,,,,,,,,,,,,,,
Kerbel,7/18/2023 16:00,Irrigation 1,MT,Y,,K-MT1-01-GBH-D,0.053,0.0,8.82,32.0,0.612,,,,,,,,,,,,,,
Kerbel,7/18/2023 2:00,Irrigation 1,MT,Y,,"K-MT1-01-GBH-2,3,5-D",0.0,0.0,8.59,24.0,0.834,,,,,,,,,,,,,,
Kerbel,7/18/2023 2:00,Irrigation 1,,N,,"BK-K-01-1,2,3,5",0.0,0.0,0.0,3.3,0.0,,,,,,,,,,,,,,
Kerbel,8/2/2023 2:00,Storm 1,CT1,N,,K-CT1-S1-LC,0.094,0.164,4.18,33.0,1.28,,,,,,,,,,,,,,
Kerbel,8/2/2023 2:00,Storm 1,CT2,N,,K-CT2-S1-LC,0.105,0.182,0.808,29.0,1.88,,,,,,,,,,,,,,
Kerbel,8/2/2023 2:00,Storm 1,MT,N,,K-MT1-S1-LC,0.098,0.288,9.56,34.0,1.25,,,,,,,,,,,,,,
Kerbel,8/2/2023 2:00,Storm 1,ST1,N,,K-ST1-S1-LC,0.074,0.166,1.37,37.0,0.474,,,,,,,,,,,,,,
Kerbel,8/2/2023 2:00,Storm 1,ST2,N,,K-ST2-S1-LC,0.189,0.209,1.9,32.0,0.0,,,,,,,,,,,,,,
Kerbel,8/2/2023 2:00,Storm 1,,N,,BK-K-S1,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,
Kerbel,8/7/2023 2:00,Storm 2,MT,N,,K-MT2-S2-LC,0.154,0.152,0.438,25.0,0.0,,,,,,,,,,,,,,
Kerbel,8/7/2023 2:00,Storm 2,ST2,N,,K-ST2-S2-LC,0.104,0.0,0.485,33.0,0.0,,,,,,,,,,,,,,
